receptor_id,ligand_id,receptor_design_ligand_id,receptor_design_rank,receptor_design_design_to_target_iptm,receptor_design_min_design_to_target_pae,boltz2_affinity_probability_binary,boltz2_affinity_pred_value
DAMGO_rank1,DAMGO,DAMGO_rank1__DAMGO,1,0.79184,1.83817,0.5689606567223867,1.001786470413208
DAMGO_rank1,morphine,DAMGO_rank1__morphine,1,0.79184,1.83817,0.2400610993305842,1.9504646062850952
DAMGO_rank1,naltrexone,DAMGO_rank1__naltrexone,1,0.79184,1.83817,0.23512008289496103,1.7621238231658936
DAMGO_rank1,nitazene,DAMGO_rank1__nitazene,1,0.79184,1.83817,0.3145792484283447,1.3179120620091755
DAMGO_rank2,DAMGO,DAMGO_rank2__DAMGO,2,0.8192,1.43925,0.38919342557589215,1.4166605472564697
DAMGO_rank2,morphine,DAMGO_rank2__morphine,2,0.8192,1.43925,0.14955446124076843,1.6877853870391846
DAMGO_rank2,naltrexone,DAMGO_rank2__naltrexone,2,0.8192,1.43925,0.17449629555145899,1.245208779970805
DAMGO_rank2,nitazene,DAMGO_rank2__nitazene,2,0.8192,1.43925,0.341001033782959,0.9211522539456686
DAMGO_rank3,DAMGO,DAMGO_rank3__DAMGO,3,0.82416,1.50154,0.23094519972801208,1.943281650543213
DAMGO_rank3,morphine,DAMGO_rank3__morphine,3,0.82416,1.50154,0.18425164123376211,2.008766849835714
DAMGO_rank3,naltrexone,DAMGO_rank3__naltrexone,3,0.82416,1.50154,0.1436085651318232,1.7061959505081177
DAMGO_rank3,nitazene,DAMGO_rank3__nitazene,3,0.82416,1.50154,0.3892078101634979,1.1545735398928325
DAMGO_rank4,DAMGO,DAMGO_rank4__DAMGO,4,0.76042,2.09353,0.4304952919483185,1.2724823951721191
DAMGO_rank4,morphine,DAMGO_rank4__morphine,4,0.76042,2.09353,0.2923051168521245,1.7054699659347534
DAMGO_rank4,naltrexone,DAMGO_rank4__naltrexone,4,0.76042,2.09353,0.21298021574815115,1.500418782234192
DAMGO_rank4,nitazene,DAMGO_rank4__nitazene,4,0.76042,2.09353,0.29086004694302875,1.029867907365163
DAMGO_rank5,DAMGO,DAMGO_rank5__DAMGO,5,0.75842,2.21497,0.14632699390252432,1.833922266960144
DAMGO_rank5,morphine,DAMGO_rank5__morphine,5,0.75842,2.21497,0.2824978828430176,1.6765176852544148
DAMGO_rank5,naltrexone,DAMGO_rank5__naltrexone,5,0.75842,2.21497,0.17271557450294495,1.2956623633702595
DAMGO_rank5,nitazene,DAMGO_rank5__nitazene,5,0.75842,2.21497,0.4177264670530955,0.9455927809079488
DAMGO_rank6,DAMGO,DAMGO_rank6__DAMGO,6,0.75821,1.74618,0.5484343965848287,1.2234207391738892
DAMGO_rank6,morphine,DAMGO_rank6__morphine,6,0.75821,1.74618,0.2023425946633021,1.2767510016759236
DAMGO_rank6,naltrexone,DAMGO_rank6__naltrexone,6,0.75821,1.74618,0.19310101370016733,1.289670705795288
DAMGO_rank6,nitazene,DAMGO_rank6__nitazene,6,0.75821,1.74618,0.31515929102897644,0.770653227965037
DAMGO_rank7,DAMGO,DAMGO_rank7__DAMGO,7,0.77385,1.8668,0.15690606584151587,1.0216874877611797
DAMGO_rank7,morphine,DAMGO_rank7__morphine,7,0.77385,1.8668,0.2871553599834442,1.092868705590566
DAMGO_rank7,naltrexone,DAMGO_rank7__naltrexone,7,0.77385,1.8668,0.22320955991744995,1.2506680885950725
DAMGO_rank7,nitazene,DAMGO_rank7__nitazene,7,0.77385,1.8668,0.35448570052782696,0.9316699306170145
DAMGO_rank8,DAMGO,DAMGO_rank8__DAMGO,8,0.74984,2.34576,0.44751521944999695,1.4083035389582317
DAMGO_rank8,morphine,DAMGO_rank8__morphine,8,0.74984,2.34576,0.23798279464244843,1.3695338169733684
DAMGO_rank8,naltrexone,DAMGO_rank8__naltrexone,8,0.74984,2.34576,0.18846967816352844,1.3999703327814739
DAMGO_rank8,nitazene,DAMGO_rank8__nitazene,8,0.74984,2.34576,0.25331590076287586,1.0891224940617878
DAMGO_rank9,DAMGO,DAMGO_rank9__DAMGO,9,0.79714,2.39952,0.11662381887435913,1.9533656040827434
DAMGO_rank9,morphine,DAMGO_rank9__morphine,9,0.79714,2.39952,0.34629981716473895,1.6577879985173543
DAMGO_rank9,naltrexone,DAMGO_rank9__naltrexone,9,0.79714,2.39952,0.27081069846947986,1.336478590965271
DAMGO_rank9,nitazene,DAMGO_rank9__nitazene,9,0.79714,2.39952,0.31208369632562,1.0548495252927144
DAMGO_rank10,DAMGO,DAMGO_rank10__DAMGO,10,0.74963,2.16209,0.2326053331295649,0.9502155234416326
DAMGO_rank10,morphine,DAMGO_rank10__morphine,10,0.74963,2.16209,0.22460606694221497,1.4840260744094849
DAMGO_rank10,naltrexone,DAMGO_rank10__naltrexone,10,0.74963,2.16209,0.22090187668800354,1.335909088452657
DAMGO_rank10,nitazene,DAMGO_rank10__nitazene,10,0.74963,2.16209,0.2945798933506012,1.1165084441502888
DAMGO_rank11,DAMGO,DAMGO_rank11__DAMGO,11,0.73828,2.4199,0.17768637587626776,1.3899816274642944
DAMGO_rank11,morphine,DAMGO_rank11__morphine,11,0.73828,2.4199,0.1638311098019282,2.1183672348658242
DAMGO_rank11,naltrexone,DAMGO_rank11__naltrexone,11,0.73828,2.4199,0.1377881020307541,1.6337788502375286
DAMGO_rank11,nitazene,DAMGO_rank11__nitazene,11,0.73828,2.4199,0.21759699285030365,1.6022145748138428
DAMGO_rank12,DAMGO,DAMGO_rank12__DAMGO,12,0.75015,1.49328,0.7587393522262573,0.9612593452135721
DAMGO_rank12,morphine,DAMGO_rank12__morphine,12,0.75015,1.49328,0.18617781500021616,1.505286693572998
DAMGO_rank12,naltrexone,DAMGO_rank12__naltrexone,12,0.75015,1.49328,0.3270860066016515,0.8745481371879578
DAMGO_rank12,nitazene,DAMGO_rank12__nitazene,12,0.75015,1.49328,0.324333796898524,0.4988028407096863
DAMGO_rank13,DAMGO,DAMGO_rank13__DAMGO,13,0.73512,2.45722,0.1967504769563675,1.4717914660771687
DAMGO_rank13,morphine,DAMGO_rank13__morphine,13,0.73512,2.45722,0.27819305658340454,1.7159397602081299
DAMGO_rank13,naltrexone,DAMGO_rank13__naltrexone,13,0.73512,2.45722,0.24205128848552704,1.2752263744672139
DAMGO_rank13,nitazene,DAMGO_rank13__nitazene,13,0.73512,2.45722,0.5041720668474833,1.0667909185091655
DAMGO_rank14,DAMGO,DAMGO_rank14__DAMGO,14,0.72037,2.08851,0.21260287861029306,1.044009804725647
DAMGO_rank14,morphine,DAMGO_rank14__morphine,14,0.72037,2.08851,0.2534761180480321,1.197533130645752
