pathway	compound	dose	spearman_rho	p_value	n
Gq	THIQ	high	-0.017586062889322587	0.00023025730865036873	43862
Gq	THIQ	low	-0.039714236345859334	8.759319886385258e-17	43862
Gq	THIQ	medium	-0.047699872367834295	1.5978437087223943e-23	43862
Gq	aMSH	high	-0.028857265379564727	1.4965331131961227e-09	43862
Gq	aMSH	low	-0.04815054433734561	6.125873101984299e-24	43862
Gq	aMSH	medium	-0.03500842540480062	2.2347759483897916e-13	43862
Gs	THIQ	high	-0.04636067324180972	2.618346081860915e-22	43862
Gs	THIQ	low	-0.05482950128928269	1.4573063942756086e-30	43862
Gs	THIQ	medium	-0.07103186250824266	3.563712440723562e-50	43862
Gs	aMSH	high	-0.07072171901692427	9.432272258330156e-50	43862
Gs	aMSH	low	-0.031240800015647774	5.979401679797889e-11	43862
Gs	aMSH	medium	-0.059857514183798526	4.128254531883076e-36	43862
