pathway	compound	dose	spearman_rho	p_value	n
Gq	THIQ	high	0.049961207642653827	1.980642901600295e-37	65408
Gq	THIQ	low	0.07143619881486152	9.439831414441707e-75	65408
Gq	THIQ	medium	0.059910639328268206	4.42023225698882e-53	65408
Gq	aMSH	high	0.022721277818119775	6.187738518648173e-09	65408
Gq	aMSH	low	0.031006210104830473	2.1635812637262284e-15	65408
Gq	aMSH	medium	0.027721503846860895	1.3314792121053998e-12	65408
Gs	THIQ	high	0.060378583134372533	6.914165464964005e-54	65408
Gs	THIQ	low	0.07326032487293034	1.5689624413069733e-78	65408
Gs	THIQ	medium	0.0713868831207594	1.1907235497789924e-74	65408
Gs	aMSH	high	0.0750628542892878	2.3276237819544702e-82	65408
Gs	aMSH	low	0.06742958437742409	8.716205921596727e-67	65408
Gs	aMSH	medium	0.06853947580875014	6.025363969285406e-69	65408
