pathway	compound	dose	spearman_rho	p_value	n
Gq	THIQ	high	0.04538337780176653	1.9179140149025276e-21	43862
Gq	THIQ	low	0.05993559664926276	3.355836325049188e-36	43862
Gq	THIQ	medium	0.0357888363495042	6.502864976886252e-14	43862
Gq	aMSH	high	0.012722856274716973	0.007707711645243581	43862
Gq	aMSH	low	0.04286698638148235	2.668199285373154e-19	43862
Gq	aMSH	medium	0.0367846472146669	1.295266541916484e-14	43862
Gs	THIQ	high	0.09396879827330164	1.3627547659635966e-86	43862
Gs	THIQ	low	0.08524308067494583	1.5511128473217929e-71	43862
Gs	THIQ	medium	0.08265731190360943	2.3344510876951408e-67	43862
Gs	aMSH	high	0.06031969829060601	1.20654781541548e-36	43862
Gs	aMSH	low	0.08856591362759071	4.282936485913343e-77	43862
Gs	aMSH	medium	0.0697773531924177	1.7797051252405143e-48	43862
