SMILES,MCTS_Value_Sum,Visits,Mean_MCTS_Reward,Worst_Binding_Abs,Num_Children,Depth
CCCC1=C(C(CC(C1)C2=CC(=CC=C2)S(=O)(=O)NC3=C(C=CC(=C3)C(F)(F)F)F)O)C4=C(O)C(=O)C(=C(C4)CC)C,0.0,0,0.0,8.28,0,1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(N)=O)NC(=O)C4=NC5=CC=CC=C5C=C4)O,0.0,0,0.0,7.18,0,1
CC1=C(C=CC=C1O)C(=O)NC(CS2=CC=CC=C2)C(CN3C4CCCCC4CC3C(=O)NC(C)C)O,0.0,0,0.0,7.18,0,1
Cc1cccc(CC(CC(=O)N2C[C@H]3CCCC[C@H]3[C@@H](O)C2)(C(=O)O)N2CCNC[C@H]2C(=O)NC(C)(C)C)c1,6.0,1,6.0,7.15,1,2
CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCC4=O)O,0.0,0,0.0,7.13,0,1
CC(C)(C)NC(=O)C1CN(CC(C1)CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)C(=O)NC4C5CCCCC5CC4O)O,30.0,5,6.0,7.11,4,1
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2C3COCC3OC2)O)S(=O)(=O)C4=CC=C(C=C4)N,0.0,0,0.0,6.99,0,1
CC(C)(C)NC(=O)C1CCN(CC(Cc2ccccc2)C(=O)NC2C3CCCCCC32)CC1,6.0,1,6.0,6.85,1,2
CC(C)(C)NC(=O)C1CCC(NCC(Cc2ccccc2)C(=O)NC2C3CCCCCC32)CC1,6.0,1,6.0,6.7,0,4
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,0.0,0,0.0,6.59,0,1
Cc1cccc(CC(CC(=O)N2CCN(C(=O)C3CC3)CC2)(C(=O)O)N2CCC(C(=O)NC(C)(C)C)CC2)c1,6.0,1,6.0,6.5,0,4
O=C(NC1C2CCCCC21)C1CN([C@H](CO)Cc2ccccc2)C1,6.0,1,6.0,6.45,1,3
CC(C)(C)NC(=O)C1CC(C(=O)NC2C3CCCCC32)CN([C@H](CO)Cc2ccccc2)C1,12.0,2,6.0,6.3,1,2
CC(C)NC(=O)C1(C(O[C@H]2[C@@H]3CCCC[C@@H]32)(C(=O)O)C(O)Cc2ccccc2)CCCN([C@H](CO)Cc2ccccc2)C1,6.0,1,6.0,6.2,1,2
CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=CC=C2)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,0.0,0,0.0,6.06,0,1
Cc1cccc(CC(CC(=O)N2CCC(C3CCCC3)C2)(C(=O)O)N(C(=O)C2CCNCC2)C(C)(C)C)c1,6.0,1,6.0,5.35,1,3
O=C(NC1CC1)C1CN([C@H](CO)Cc2ccccc2)C1,6.0,1,6.0,5.35,0,4
CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)OCC4=CN=C(S4)C(C)C)O,0.0,0,0.0,5.29,0,1
Cc1ccccc1CCN[C@@H](Cc1ccccc1C)C(O[C@H]1[C@@H]2CCCC[C@@H]21)(C(=O)O)C1(C(=O)NC(C)C)CCCN(C(CO)Cc2ccccc2)C1,6.0,1,6.0,5.15,0,4
C,30.0,5,6.0,,9,0
