Entry ID	Mean S314 OG Distance (Å)
7CR1	2.863049
8IZY	3.0822408
9L8W	3.8405612
7CR2	3.0943184
7CR0	2.828239
7CR4	6.8154864
7CR7	6.3444543
7CR3	3.274248
8IJK	10.592184
8J04	2.9453325
8J05	3.0820527
8W4U	8.689634
8X43	2.6333766
8J03	2.9396427
8J00	2.718644
8J01	9.065264
8J02	8.722565
9XED	5.566354
9XB9	5.4348145
8XO1	5.4752274
9IXY	8.838931
9IXZ	3.5443125
